occurrenceID	verbatimIdentification	organismQuantity	organismQuantityType	lifeStage	eventID	taxonID	taxonRank	kingdom	surveyTargetID	scientificName	occurrenceStatus	recordedBy	recordedByID	identifiedBy	identifiedByID
BROKE_WEST_RMT_094_RMT8_BROKE_WEST_RMT_094_RMT8_217697_Larvae	Electrona antarctica Larvae	1	individuals	Larvae	BROKE_WEST_RMT_094_RMT8	urn:lsid:marinespecies.org:taxname:217697	Species	Animalia	BROKE_WEST_RMT_094_RMT8_217697_Larvae	Electrona antarctica	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_096_RMT8_BROKE_WEST_RMT_096_RMT8_234695	Notolepis coatsi	1	individuals		BROKE_WEST_RMT_096_RMT8	urn:lsid:marinespecies.org:taxname:234695	Species	Animalia	BROKE_WEST_RMT_096_RMT8_234695	Notolepis coatsi	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_099_RMT8_BROKE_WEST_RMT_099_RMT8_234695	Notolepis coatsi	1	individuals		BROKE_WEST_RMT_099_RMT8	urn:lsid:marinespecies.org:taxname:234695	Species	Animalia	BROKE_WEST_RMT_099_RMT8_234695	Notolepis coatsi	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_099_RMT8_BROKE_WEST_RMT_099_RMT8_234552	Bathydraco sp.	1	individuals		BROKE_WEST_RMT_099_RMT8	urn:lsid:marinespecies.org:taxname:234552	Genus	Animalia	BROKE_WEST_RMT_099_RMT8_234552	Bathydraco	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_099_RMT8_BROKE_WEST_RMT_099_RMT8_234834	Cygnodraco mawsoni	2	individuals		BROKE_WEST_RMT_099_RMT8	urn:lsid:marinespecies.org:taxname:234834	Species	Animalia	BROKE_WEST_RMT_099_RMT8_234834	Cygnodraco mawsoni	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_100_RMT8_BROKE_WEST_RMT_100_RMT8_234730	Pogonophryne marmorata	1	individuals		BROKE_WEST_RMT_100_RMT8	urn:lsid:marinespecies.org:taxname:234730	Species	Animalia	BROKE_WEST_RMT_100_RMT8_234730	Pogonophryne marmorata	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_100_RMT8_BROKE_WEST_RMT_100_RMT8_234552	Bathydraco sp.	2	individuals		BROKE_WEST_RMT_100_RMT8	urn:lsid:marinespecies.org:taxname:234552	Genus	Animalia	BROKE_WEST_RMT_100_RMT8_234552	Bathydraco	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_100_RMT8_BROKE_WEST_RMT_100_RMT8_234834	Cygnodraco mawsoni	1	individuals		BROKE_WEST_RMT_100_RMT8	urn:lsid:marinespecies.org:taxname:234834	Species	Animalia	BROKE_WEST_RMT_100_RMT8_234834	Cygnodraco mawsoni	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_106_RMT8_BROKE_WEST_RMT_106_RMT8_234582	Chionodraco sp.	2	individuals		BROKE_WEST_RMT_106_RMT8	urn:lsid:marinespecies.org:taxname:234582	Genus	Animalia	BROKE_WEST_RMT_106_RMT8_234582	Chionodraco	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_106_RMT8_BROKE_WEST_RMT_106_RMT8_234721	Pleuragramma antarcticum	1	individuals		BROKE_WEST_RMT_106_RMT8	urn:lsid:marinespecies.org:taxname:234721	Species	Animalia	BROKE_WEST_RMT_106_RMT8_234721	Pleuragramma antarcticum	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
